country_iso3;alliance_id
ALB;NATO
AUT;EU
BEL;NATO
BEL;EU
BGR;NATO
BGR;EU
HRV;NATO
HRV;EU
CYP;EU
CZE;NATO
CZE;EU
DNK;NATO
DNK;EU
EST;NATO
EST;EU
FIN;NATO
FIN;EU
FRA;NATO
FRA;EU
DEU;NATO
DEU;EU
GRC;NATO
GRC;EU
HUN;NATO
HUN;EU
IRL;EU
ITA;NATO
ITA;EU
LVA;NATO
LVA;EU
LTU;NATO
LTU;EU
LUX;NATO
LUX;EU
MLT;EU
NLD;NATO
NLD;EU
POL;NATO
POL;EU
PRT;NATO
PRT;EU
ROU;NATO
ROU;EU
SVK;NATO
SVK;EU
SVN;NATO
SVN;EU
ESP;NATO
ESP;EU
SWE;NATO
SWE;EU
GBR;NATO
CHE;EU
NOR;EU
ISL;NATO
RUS;SCO
CHN;BRICS
CHN;SCO
IND;BRICS
IND;SCO
BRA;BRICS
ZAF;BRICS
ZAF;AU
