ALB;82;68;227
AUT;161;45;184
BEL;46;167;137
BGR;109;130;108
BIH;134;198;115
BLR;66;122;105
CHE;156;110;127
CYP;40;178;135
CZE;59;23;91
DEU;83;152;114
DNK;204;199;54
ESP;36;192;224
EST;60;228;45
FIN;33;194;212
FRA;156;129;51
GBR;108;33;174
GEO;72;90;178
GRC;145;161;167
HRV;218;97;136
HUN;181;34;184
IRL;123;75;91
ISL;153;194;178
ITA;77;144;216
KOS;87;85;80
LTU;137;57;205
LUX;73;206;196
LVA;124;156;135
MDA;101;96;152
MKD;211;157;58
MNE;67;224;36
NLD;169;72;194
NOR;40;35;206
POL;115;201;79
PRT;51;34;64
ROU;142;87;91
RUS;57;200;40
SRB;179;115;68
SVK;220;38;93
SVN;39;50;110
SWE;225;213;55
TUR;21;122;127
UKR;87;109;160
